[DEVICE] Using cuda
Starting learning
Epoch: 1, Accuracy: 30.280649926144758%, Training loss: 1.9248549938201904
Epoch: 115, Accuracy: 87.85081240768095%, Training loss: 0.43208253383636475
Epoch: 116, Accuracy: 86.81683899556869%, Training loss: 0.40357792377471924
Epoch: 117, Accuracy: 86.04135893648449%, Training loss: 0.3987017869949341
Epoch: 118, Accuracy: 87.03840472673559%, Training loss: 0.4021206498146057
Epoch: 119, Accuracy: 86.00443131462333%, Training loss: 0.3823702931404114
Epoch: 120, Accuracy: 87.1122599704579%, Training loss: 0.38483864068984985
Epoch: 121, Accuracy: 86.48449039881831%, Training loss: 0.40078338980674744
Epoch: 122, Accuracy: 87.8138847858198%, Training loss: 0.40294143557548523
Epoch: 123, Accuracy: 87.51846381093057%, Training loss: 0.3826121687889099
Epoch: 124, Accuracy: 86.04135893648449%, Training loss: 0.4051986634731293
Epoch: 125, Accuracy: 87.55539143279172%, Training loss: 0.4093642830848694
Epoch: 126, Accuracy: 86.59527326440177%, Training loss: 0.3808688819408417
Epoch: 127, Accuracy: 86.81683899556869%, Training loss: 0.38981881737709045
Epoch: 128, Accuracy: 88.109305760709%, Training loss: 0.3864281475543976
Epoch: 129, Accuracy: 87.40768094534712%, Training loss: 0.3760776221752167
Epoch: 130, Accuracy: 87.44460856720828%, Training loss: 0.396284818649292
Epoch: 131, Accuracy: 86.85376661742984%, Training loss: 0.3990037739276886
Epoch: 132, Accuracy: 87.74002954209749%, Training loss: 0.38882482051849365
Epoch: 133, Accuracy: 86.33677991137371%, Training loss: 0.3737783432006836
Epoch: 134, Accuracy: 87.99852289512556%, Training loss: 0.3994940221309662
Epoch: 135, Accuracy: 87.74002954209749%, Training loss: 0.3658704459667206
Epoch: 136, Accuracy: 87.40768094534712%, Training loss: 0.38604578375816345
Epoch: 137, Accuracy: 87.40768094534712%, Training loss: 0.3849893808364868
Epoch: 138, Accuracy: 85.52437223042836%, Training loss: 0.41019096970558167
Epoch: 139, Accuracy: 88.14623338257016%, Training loss: 0.40506771206855774
Epoch: 140, Accuracy: 86.70605612998523%, Training loss: 0.3783075213432312
Epoch: 141, Accuracy: 87.62924667651403%, Training loss: 0.3738049566745758
Epoch: 142, Accuracy: 88.0354505169867%, Training loss: 0.36385098099708557
Epoch: 143, Accuracy: 86.92762186115215%, Training loss: 0.35866305232048035
Epoch: 144, Accuracy: 88.0354505169867%, Training loss: 0.4043477177619934
Epoch: 145, Accuracy: 86.9645494830133%, Training loss: 0.38971632719039917
Epoch: 146, Accuracy: 87.14918759231905%, Training loss: 0.3962138593196869
Epoch: 147, Accuracy: 88.66322008862629%, Training loss: 0.3615822494029999
Epoch: 148, Accuracy: 87.40768094534712%, Training loss: 0.39132198691368103
Epoch: 149, Accuracy: 88.44165435745938%, Training loss: 0.38525453209877014
Epoch: 150, Accuracy: 88.66322008862629%, Training loss: 0.35237061977386475
Training complete. Time elapsed: 1.3125665187835693s
Saving best model with accuracy: 88.66322008862629
Starting testing
Test accuracy: 0.9501477104874446
Bye, have a lovely coding day!
